Year,GDP
2000,716.0653862153748
2001,798.6725293940477
2002,814.65217825
2003,953.58258855625
2004,1126.9537807
2005,1265.012312225
2006,1551.39368835
2007,1909.62158348125
2008,2289.9180303375
2009,2234.55961665625
2010,2635.4010491375
2011,3127.5146902875
2012,3284.4893304624998
2013,3382.3153303625
2014,3437.9928499
2015,3218.6241048624997
2016,3143.42586135625
2017,3377.86464481875
2018,3374.08219709375
2019,3424.38388144375
2020,3009.0819704250002
2021,3519.48245359375
2022,3876.8977736995244
