Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,6283.001443,7567.253642,9274.514156,10767.39622,11638.73371,12850.21571,13657.67064,14970.15234,16675.27849,17140.43337,17375.22531,18713.42539,19742.31674,19833.82675,21026.16709,20911.19277,21375.26912,22050.58987,24105.52412,24978.22167,25832.92556,27665.29948,29011.63906,25740.77023,24452.58874,26043.15633,25611.17577,26514.86898,26940.26411,28419.26453,28449.71295,29329.08175,30918.48358,31902.80982,24008.12782,29127.75938,33300.83882
Africa Eastern and Southern,141.3859554,144.3424344,148.7748351,157.0475799,166.8497906,177.7690856,186.6304863,199.5598353,210.0780972,229.7110262,243.1582633,258.7005229,270.7611721,345.5734583,412.830995,426.3009363,414.4697559,447.9277852,485.6663822,560.1757495,720.7715065,729.9124324,668.7976869,692.732222,625.4666363,506.8166771,555.6113256,655.8911882,702.3200606,725.8696746,821.8173043,865.2555046,734.7382925,710.1764209,700.1892364,766.165631,741.0562631,762.8943484,700.2246959,673.5209935,710.665706,631.5956953,631.9282817,818.1219214,991.192169,1126.375948,1232.423412,1376.638778,1435.808451,1420.293773,1656.366272,1806.768778,1773.651568,1736.849038,1725.332959,1554.167299,1444.003514,1625.286236,1558.307482,1507.982881,1355.805923,1545.613215,1644.062829
Afghanistan,62.36937451,62.44370346,60.95036382,82.02173758,85.51107341,105.2431957,143.1032332,167.1656746,134.0127683,134.2503596,162.6421754,166.2248313,141.3653223,149.7440685,181.598776,194.6690362,205.6740967,232.7786988,255.0456222,284.7555317,291.649791,311.853617,,,,,,,,,,,,,,,,,,,,,182.1740366,199.6432279,221.8305307,254.1152743,274.0153943,376.3182964,382.5338038,453.3873821,562.4992194,608.7388559,653.4174791,638.7331848,626.5129305,566.8811327,523.0530121,526.1408013,492.0906323,497.7414293,512.0550982,355.7778264,
Africa Western and Central,107.0537061,112.1284168,117.8146632,122.3701142,130.7002776,137.3018014,143.0125616,127.3252676,128.3668106,142.3275235,193.5762784,167.637045,198.4033764,243.8755297,330.0787136,374.0154735,439.8321474,450.0740861,477.1940168,577.5415555,709.8488765,1299.911318,1120.59402,805.0335336,649.0257708,644.3438748,578.8652821,578.1175851,555.9263652,505.3330802,589.1658311,602.9942894,562.3624643,571.8827814,579.701872,872.0673269,1078.702831,1103.186661,1154.479523,523.2242355,519.7573953,532.2725758,619.7126518,697.8512357,841.2973523,1000.793722,1243.173889,1421.272934,1685.556069,1467.615875,1679.88783,1861.381068,1957.917784,2154.150832,2248.316255,1882.264038,1648.762676,1590.277754,1735.374911,1812.446822,1688.075575,1766.943618,1785.312219
Angola,,,,,,,,,,,,,,,,,,,,,712.3697626,643.4399736,620.7365722,623.9093041,637.9035506,758.088489,684.9013443,756.4275452,793.391428,892.3400762,949.9213555,850.5561803,657.6546403,466.6791634,329.6917841,398.1202225,454.3750042,516.1278492,423.4033318,387.6894148,556.8842435,527.4641184,872.657638,982.8055897,1254.696126,1900.723816,2597.963585,3121.348735,4081.717497,3123.698898,3586.66368,4608.155166,5083.826851,5061.34924,5011.984412,3217.339244,1809.709377,2439.374441,2540.508878,2191.347764,1450.905112,1927.474078,3000.444231
Albania,,,,,,,,,,,,,,,,,,,,,,,,,639.4847302,639.8659038,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161351,750.6044492,1009.977111,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787816,2972.743621,3595.038295,4370.539716,4114.134033,4094.349686,4437.141161,4247.631343,4413.063383,4578.633208,3952.803574,4124.05539,4531.032207,5287.660801,5396.214243,5343.037704,6377.203096,6810.114041
Andorra,,,,,,,,,,,3958.595725,4193.162374,4967.343963,6183.808441,7174.444564,7963.551816,7758.71683,8206.982365,9456.015877,12054.03164,12534.82847,10516.75633,9739.22855,8108.677348,7825.160158,7914.873991,10568.92913,12832.99936,14529.05988,15404.82159,19208.67838,19967.73391,21123.05606,17024.31317,16670.93843,18731.65019,19081.54924,18253.0777,18592.24364,18884.17698,21620.4651,22809.08776,24784.95609,31954.16179,37630.76426,39583.93119,43084.28372,50562.82661,53721.38851,49750.71855,48237.89054,51428.1897,44902.38771,44747.76116,45680.54694,38885.54859,39931.23626,40632.20898,42904.81159,41328.61239,37207.23887,42072.31942,41992.77278
Arab World,,,,,,,,,303.3184153,321.2608791,353.0987014,396.7319335,459.8065007,566.8916285,1046.223929,1120.377671,1346.545593,1501.66163,1610.275413,2109.239238,2772.22853,2773.208385,2517.120996,2295.291541,2264.594877,2164.531072,2038.03432,2142.975621,2012.72198,2104.344664,2882.533783,2082.360306,2051.920611,2054.965224,2130.999549,2208.126608,2348.38534,2470.920532,2367.094571,2557.570775,2858.484294,2736.600319,2694.219561,2916.795659,3394.097292,4070.894775,4704.005067,5329.579921,6531.525136,5587.915661,6437.734497,6894.816127,7368.698896,7352.085717,7306.051166,6287.314935,6117.871507,6230.762079,6579.417105,6504.789633,5644.14257,6419.161029,7625.252464
United Arab Emirates,,,,,,,,,,,,,,,,27090.34006,31282.77154,35186.23204,29526.63798,34372.38249,42995.16399,44841.22974,39921.63298,34586.53181,31955.18125,29432.83121,23111.37838,23088.20417,21545.45558,23141.01477,26682.84981,25668.49332,25630.08097,25019.37236,25463.49629,27010.67819,28596.50683,28709.24692,25905.84338,27261.90657,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,35392.26097,42078.61381,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44332.34005,53707.98008
Argentina,,,,,,,,,,,,,,,,,,,,,,,,3727.04801,3787.470679,2919.283511,3454.296334,3492.691474,4005.201258,2382.335862,4330.968191,5730.72381,6815.32933,6957.417499,7464.474737,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.73915,13082.66433,13080.25473,12334.79825,13789.06042,12790.26414,14613.03565,11795.16275,9963.674162,8500.837939,10650.86046,13650.60463
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.5673276,572.1617627,356.0822126,347.4664633,389.8252865,441.8940018,484.091641,501.1565152,584.3842673,575.6284792,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163408,2109.526384,3064.279963,3908.94906,2917.366242,3143.02948,3462.681778,3643.715401,3833.157074,4017.229914,3666.141822,3679.952347,4041.995071,4391.92327,4828.504886,4505.867742,4972.783204,7018.051504
