Year,GDP
2000,7963.044220152631
2001,7431.53092803158
2002,7540.0727187
2003,8055.614928068421
2004,9087.666104921052
2005,9905.265343178948
2006,10895.487120068421
2007,12100.505039957894
2008,13050.929181531581
2009,12357.145644863158
2010,14685.51110025263
2011,17246.301796478947
2012,18221.726680294738
2013,18707.160199
2014,18978.07905731579
2015,17250.342518947367
2016,17422.758695894736
2017,18522.55067531579
2018,19887.673978263156
2019,19818.261659894735
2020,16734.46989005263
2021,19126.93076389474
2022,18696.12401857895
