Year,GDP
2000,18742.675751072657
2001,18986.74453641459
2002,20634.941572210973
2003,24590.673474467243
2004,28120.814492628062
2005,29820.667619727552
2006,32448.613220955067
2007,37832.1060525574
2008,40828.203591620084
2009,36024.02645585538
2010,36255.81676249841
2011,39104.74029667187
2012,37173.07597813002
2013,39380.00605780528
2014,40621.352252987606
2015,36614.438735896714
2016,37359.65127201725
2017,39227.02241093104
2018,42027.05727263793
2019,41517.53627627586
2020,40181.00547732759
2021,46518.79870619818
2022,46836.05862391875
