Year,GDP
2000,6178.751590224323
2001,6376.37823812227
2002,6503.859554570888
2003,6818.575760035707
2004,7634.241776537638
2005,8881.23072539823
2006,10614.759582807144
2007,11493.875852497618
2008,12192.747425785716
2009,11312.46781642857
2010,11873.562249499999
2011,12500.438735761903
2012,12769.623498690475
2013,12959.383790833332
2014,13240.150571833334
2015,13172.581702380034
2016,13198.649424872561
2017,13715.904404051222
2018,14061.448732647554
2019,14295.956243853068
2020,12505.71501756897
2021,13842.100872492834
2022,15663.25606927266
