Year,GDP
2000,6664.571026767857
2001,6370.755479921429
2002,6383.838022439285
2003,7160.477980942857
2004,8371.633705867856
2005,9889.198015039286
2006,11104.61384122857
2007,12142.128558003573
2008,14453.83434425
2009,11701.544228928571
2010,13110.012081785713
2011,14723.620853857143
2012,15429.151701214287
2013,15291.995667017856
2014,14872.594514607143
2015,12243.994455753573
2016,11798.839385014286
2017,12458.441300142858
2018,13383.630097721429
2019,13169.366421725
2020,11493.193149057142
2021,13512.552576139287
2022,15957.48877881788
