Year,GDP
2000,949.0303359061799
2001,926.0915140040817
2002,973.2565449693877
2003,1166.9436543959182
2004,1416.0744162224491
2005,1648.6790658571429
2006,1820.2437838142857
2007,2046.4431704877552
2008,2328.118374697959
2009,2066.823146942857
2010,2310.2990515183674
2011,2639.1380269489796
2012,2632.0111483918367
2013,2695.201474467347
2014,2707.7139157795923
2015,2270.6991062918364
2016,2178.282686477551
2017,2324.6566401673467
2018,2484.7110425571427
2019,2406.0494794448978
2020,2092.1417213591835
2021,2362.8060434714284
2022,2446.4193018265305
