Year,Various
2000,4645.33048685238
2001,4575.984555038095
2002,4738.270386628572
2003,5304.134727985715
2004,5966.020306514286
2005,6454.3108603
2006,6965.53115772381
2007,7797.062624880952
2008,8551.53867572857
2009,7904.1471586238085
2010,8561.723887657143
2011,9429.724444633333
2012,9543.779121614285
2013,9722.021283538095
2014,9896.980930004762
2015,9096.478662819047
2016,9117.914397209524
2017,9599.688488261905
2018,10136.957084209524
2019,10167.1527257
2020,9693.446624042857
2021,10984.822955238094
2022,11479.697527880951
