Year,Central and Southern Asia,Eastern and South-Eastern Asia,Europe and Northern America,Latin America and Caribbean,Northern Africa and Western Asia,Oceania,Sub-Saharan Africa,Various,World
2000,716.0653862153748,7963.044220152631,18742.675751072657,6178.751590224323,6664.571026767857,7253.095587067456,949.0303359061799,4645.33048685238,5517.121715
2001,798.6725293940477,7431.53092803158,18986.74453641459,6376.37823812227,6370.755479921429,7042.9092861652125,926.0915140040817,4575.984555038095,5410.749791
2002,814.65217825,7540.0727187,20634.941572210973,6503.859554570888,6383.838022439285,7408.406595263477,973.2565449693877,4738.270386628572,5545.61076
2003,953.58258855625,8055.614928068421,24590.673474467243,6818.575760035707,7160.477980942857,8455.308320592096,1166.9436543959182,5304.134727985715,6138.110737
2004,1126.9537807,9087.666104921052,28120.814492628062,7634.241776537638,8371.633705867856,9612.468059588156,1416.0744162224491,5966.020306514286,6829.846305
2005,1265.012312225,9905.265343178948,29820.667619727552,8881.23072539823,9889.198015039286,10249.153614232722,1648.6790658571429,6454.3108603,7303.74346
2006,1551.39368835,10895.487120068421,32448.613220955067,10614.759582807144,11104.61384122857,10488.687791652817,1820.2437838142857,6965.53115772381,7816.391751
2007,1909.62158348125,12100.505039957894,37832.1060525574,11493.875852497618,12142.128558003573,11713.99151788354,2046.4431704877552,7797.062624880952,8700.587475
2008,2289.9180303375,13050.929181531581,40828.203591620084,12192.747425785716,14453.83434425,12308.260883307219,2328.118374697959,8551.53867572857,9443.240891
2009,2234.55961665625,12357.145644863158,36024.02645585538,11312.46781642857,11701.544228928571,11318.068038466912,2066.823146942857,7904.1471586238085,8842.426339
2010,2635.4010491375,14685.51110025263,36255.81676249841,11873.562249499999,13110.012081785713,12222.4757144,2310.2990515183674,8561.723887657143,9570.618407
2011,3127.5146902875,17246.301796478947,39104.74029667187,12500.438735761903,14723.620853857143,13443.9434563,2639.1380269489796,9429.724444633333,10485.49418
2012,3284.4893304624998,18221.726680294738,37173.07597813002,12769.623498690475,15429.151701214287,14004.79655905,2632.0111483918367,9543.779121614285,10587.93714
2013,3382.3153303625,18707.160199,39380.00605780528,12959.383790833332,15291.995667017856,14337.91536975,2695.201474467347,9722.021283538095,10749.96067
2014,3437.9928499,18978.07905731579,40621.352252987606,13240.150571833334,14872.594514607143,14464.4605233,2707.7139157795923,9896.980930004762,10911.12712
2015,3218.6241048624997,17250.342518947367,36614.438735896714,13172.581702380034,12243.994455753573,13521.152374549998,2270.6991062918364,9096.478662819047,10168.12454
2016,3143.42586135625,17422.758695894736,37359.65127201725,13198.649424872561,11798.839385014286,13789.7438459,2178.282686477551,9117.914397209524,10215.58544
2017,3377.86464481875,18522.55067531579,39227.02241093104,13715.904404051222,12458.441300142858,14730.779996000001,2324.6566401673467,9599.688488261905,10754.92975
2018,3374.08219709375,19887.673978263156,42027.05727263793,14061.448732647554,13383.630097721429,15072.664400900001,2484.7110425571427,10136.957084209524,11297.4524
2019,3424.38388144375,19818.261659894735,41517.53627627586,14295.956243853068,13169.366421725,14836.00927835,2406.0494794448978,10167.1527257,11338.15032
2020,3009.0819704250002,16734.46989005263,40181.00547732759,12505.71501756897,11493.193149057142,13993.6228939,2092.1417213591835,9693.446624042857,10904.14761
2021,3519.48245359375,19126.93076389474,46518.79870619818,13842.100872492834,13512.552576139287,14926.747623991547,2362.8060434714284,10984.822955238094,12316.10246
2022,3876.8977736995244,18696.12401857895,46836.05862391875,15663.25606927266,15957.48877881788,15026.435487120354,2446.4193018265305,11479.697527880951,12687.74189
